card_id,card_type,user_id (NOTE generated by cognito),user_contact
023142c5-f593-4e49-8097-a75b53419c59,scis_freedom,Stella@transcenda.com,+6512345678
032c5dde-c297-432a-a852-1b07a1d78ae1,scis_freedom,Dominik@transcenda.com,+6512345678
03a77824-df6b-47f6-8643-25dd8d0633e8,scis_freedom,Kevin@transcenda.com,+6512345678
0524d78f-58a9-477a-8ad4-04a2943f4cf4,scis_freedom,Michael@transcenda.com,+6512345678
0b343c97-e8a3-4551-8cad-728e5442f381,scis_freedom,Penelope@transcenda.com,+6512345678
10023df5-eeca-4526-8c42-a892f59f6a85,scis_freedom,Alina@transcenda.com,+6512345678
1223f367-b393-4694-b4b7-0c4c1c318301,scis_freedom,Amanda@transcenda.com,+6512345678
1957f4eb-9876-4b9b-8170-4fccb52f7c27,scis_freedom,Edward@transcenda.com,+6512345678
213900a4-b271-4ebf-9327-94eb7ec48478,scis_freedom,Sofia@transcenda.com,+6512345678
23432c85-bcca-486e-89d5-86371397d83a,scis_freedom,chenzhaoxing.98@gmail.com,+6582223913
27a94e97-c02a-4d91-87c6-14c75e9e11a4,scis_freedom,Kelvin@transcenda.com,+6512345678
2a81fe39-e37f-4228-8d02-f8eb3b5ece57,scis_freedom,Joyce@transcenda.com,+6512345678
2bbf6f01-14aa-45f4-b5c3-1c03282b5886,scis_freedom,Rafael@transcenda.com,+6512345678
2cb26db8-9c82-4fce-8cab-5989558e578c,scis_freedom,Lucas@transcenda.com,+6512345678
2f78967a-7b36-4d14-93c1-674626415aa9,scis_freedom,Olivia@transcenda.com,+6512345678
32a40fec-5ba9-4797-8f9d-6635e7fbf17d,scis_freedom,Jacob@transcenda.com,+6512345678
357c5bab-33d6-4c50-ad2c-c7c7a155e35f,scis_freedom,Maya@transcenda.com,+6512345678
36034a0d-e657-42c2-a464-7fbb8f88baa8,scis_freedom,Roman@transcenda.com,+6512345678
36aa625a-d255-4472-95d9-d7f2bae67cb4,scis_freedom,Catherine@transcenda.com,+6512345678
38f6faa5-15aa-41e6-b6ed-f8c98c9944a2,scis_freedom,Jasmine@transcenda.com,+6512345678
3a82af26-54e0-4e1e-9f06-c224c8a34126,scis_freedom,Carl@transcenda.com,+6512345678
3c4d9813-7752-4778-a7f9-c982760a20d2,scis_freedom,Anna@transcenda.com,+6512345678
3d31fbf2-6541-45e3-ab55-2762e7d34c94,scis_freedom,Frederick@transcenda.com,+6512345678
3dc582d5-2b33-4a56-a8b5-e6c4718f9a7c,scis_freedom,Gianna@transcenda.com,+6512345678
3e873132-2824-4695-a6e7-3ec0a8fa7115,scis_freedom,Paul@transcenda.com,+6512345678
4211083d-9175-4530-8b34-90758bc73f57,scis_freedom,Elise@transcenda.com,+6512345678
4251ca55-1d42-48f4-a485-f260cda54089,scis_freedom,Martin@transcenda.com,+6512345678
455ac4ab-c83e-4c80-b45c-dd9195c855cb,scis_freedom,KevinWatson@transcenda.com,+6512345678
4629f8a7-8a0c-4bc6-8d43-d127a3c37d4c,scis_freedom,Freddie@transcenda.com,+6512345678
49d99629-1f1b-44d6-bccd-dcb4541822a7,scis_freedom,Arianna@transcenda.com,+6512345678
4b6832b7-1ab9-45d7-994e-6c592a777306,scis_freedom,OliverBarnes@transcenda.com,+6512345678
4d45c9b0-e941-481b-9c60-d91d77aaf95a,scis_freedom,PaulRussell@transcenda.com,+6512345678
4f4328b3-473e-4618-afc5-db94fe602187,scis_freedom,Ned@transcenda.com,+6512345678
4f5c2d77-0715-4684-b616-30836edd56c6,scis_freedom,Victoria@transcenda.com,+6512345678
50b2c180-dd26-433c-abf4-4ed7778e6293,scis_freedom,Charlotte@transcenda.com,+6512345678
545d0a6d-1452-4218-a28f-f0b59412616f,scis_freedom,Jack@transcenda.com,+6512345678
57e1ad73-ede0-4c4e-b7b3-57421afd56be,scis_freedom,OliviaRichardson@transcenda.com,+6512345678
5e346753-8dda-4635-98d4-8e54230294a8,scis_freedom,Honey@transcenda.com,+6512345678
602032d2-a709-4eaf-abca-8746b7e49803,scis_freedom,Briony@transcenda.com,+6512345678
6129ccdc-b658-4c6f-a296-a5b6d71200ae,scis_freedom,Albert@transcenda.com,+6512345678
61a6b011-2879-45b7-83ae-1ca9a019b148,scis_freedom,Hailey@transcenda.com,+6512345678
633de3f1-9771-4dc6-afea-7776cc58d6b7,scis_freedom,Brooke@transcenda.com,+6512345678
639afc84-edd2-4b40-938a-83f576a52514,scis_freedom,Jessica@transcenda.com,+6512345678
64a7aaad-5be9-41dc-bfd7-7cc8cb31683b,scis_freedom,Sienna@transcenda.com,+6512345678
6520ab8c-7723-4f63-bae8-a9937c80ab8a,scis_freedom,Samantha@transcenda.com,+6512345678
65b233b6-6249-4250-8a99-ba09fcfc559a,scis_freedom,Julia@transcenda.com,+6512345678
69946770-09e0-4b62-a685-f00b04dd04a5,scis_freedom,Jenna@transcenda.com,+6512345678
6a0a06cd-e520-4c03-963e-025495d430eb,scis_freedom,Alan@transcenda.com,+6512345678
6a391d12-2db9-4fe5-9f92-c609e4b17d6d,scis_freedom,Natalie@transcenda.com,+6512345678
6a6b5c7b-5c2c-4082-8963-07ff5319b124,scis_freedom,Adrianna@transcenda.com,+6512345678
72530c8a-4294-402e-ba9a-222880b11131,scis_freedom,Cadie@transcenda.com,+6512345678
72e1c83f-b670-4b96-aaf7-e859f323fa29,scis_freedom,Justin@transcenda.com,+6512345678
7404c27c-b2e1-4b42-8e1d-26edc99f3e01,scis_freedom,Alfred@transcenda.com,+6512345678
75cd25ff-bb90-4e7d-9d6b-6c46eb6409cb,scis_freedom,Nicole@transcenda.com,+6512345678
7aa6174e-2a43-46a8-acc0-9d7ecac2c045,scis_freedom,Melissa@transcenda.com,+6512345678
7c08179a-6869-45a5-b7f2-aa0f2678984a,scis_freedom,Ted@transcenda.com,+6512345678
7df2430a-2b34-492b-9849-274f4ddf7389,scis_freedom,Aiden@transcenda.com,+6512345678
864aac67-e445-4ca6-a1e0-62ecabdce60f,scis_freedom,John@transcenda.com,+6512345678
8b33f88f-5e5d-45c6-acef-dbace6b09410,scis_freedom,Owen@transcenda.com,+6512345678
8b6b2f54-0a20-418e-92ad-10a2d89936c8,scis_freedom,Evelyn@transcenda.com,+6512345678
8be4a2e9-41de-4b13-a808-5dd9ab15bc0c,scis_freedom,Miley@transcenda.com,+6512345678
